Date;Source;Destination;Prefix;Direction;Billsec;Status;N;a;a;a;a;a;a;a;a;a;a;a;a;a;a
2011-11-21 10:54:33;0;79198899299;791988;Russian Federation MOB Russia 79 Rostov MTS   ;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 10:54:38;0;79198899299;791988;Russian Federation MOB Russia 79 Rostov MTS   ;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 10:54:40;0;79198899299;791988;Russian Federation MOB Russia 79 Rostov MTS   ;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 11:25:48;0;78463426582;7846342;Russian Federation FIX Russia Samara Samara;0;NO ANSWER(0);1;my_gate_pavl_fix;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,004458;0;;0;0;0;0
2011-11-21 11:26:10;0;79171385977;791713;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 11:31:37;0;79171310663;791713;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 11:32:37;0;79171310663;791713;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 11:32:39;0;79171310663;791713;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
2011-11-21 11:34:17;0;78463426081;7846342;Russian Federation FIX Russia Samara Samara;0;FAILED(34);1;my_gate_pavl_fix;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,004458;0;;0;0;0;0
2011-11-21 11:35:44;0;79149881133;791498;Russian Federation MOB Russia Buryatiya Mobile;0;FAILED(34);1;my_gate_pavl_mts_ru;0;0;Samara-VOIP ;0;0;XLine Telecom ;0,018576;0;;0;0;0;0
2011-11-21 11:46:26;0;79171250258;791712;Russian Federation MOB Samara MTS;0;FAILED(34);1;my_gate_pavl_gsm_sam_obl;0;0;Samara-VOIP ;0;0;Blussert Ltd ;0,013375;0;;0;0;0;0
